,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Manufactured Location,Year,Mileometer(in kms),Fuel_Type,Mode,Owner_Type,Mileage,Engine,Power,Seats,Price,Age,Efficiency,Avg_kms_per_year
1235,1235,1235,1235,1276,Maruti Wagon R LXI Minor,Jaipur,2006,65000,Petrol,Manual,First,18.9,1061.0,67.0,5.0,1.5,18,0.2820895522388059,3611.1111111111113
1236,1236,1236,1236,1277,Honda City 1.5 V MT,Bangalore,2011,66000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,4.9,13,0.1440677966101695,5076.923076923077
1237,1237,1237,1237,1278,Honda Civic 2010-2013 1.8 S MT,Mumbai,2010,86000,Petrol,Manual,First,14.8,1799.0,130.2,5.0,2.9,14,0.1136712749615975,6142.857142857143
1238,1238,1238,1238,1279,Honda City 1.5 EXI,Pune,2005,98437,Petrol,Manual,First,13.0,1493.0,100.0,5.0,1.15,19,0.13,5180.894736842105
1239,1239,1239,1239,1280,Hyundai i20 1.2 Magna,Kolkata,2010,18000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,2.3,14,0.23125,1285.7142857142858
1240,1240,1240,1240,1281,Hyundai Grand i10 CRDi Sportz Celebration Edition,Kochi,2018,35070,Diesel,Manual,First,24.0,1120.0,70.0,5.0,5.99,6,0.3428571428571428,5845.0
1241,1241,1241,1241,1282,Volkswagen Vento Petrol Highline AT,Pune,2011,42000,Petrol,Automatic,Third,14.4,1598.0,103.6,5.0,3.4,13,0.138996138996139,3230.769230769231
1242,1242,1242,1242,1283,Hyundai i10 Sportz 1.2,Kolkata,2009,40000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,1.7,15,0.2580481622306717,2666.6666666666665
1243,1243,1243,1243,1284,Hyundai i20 Asta,Kolkata,2009,43000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,1.99,15,0.2125,2866.6666666666665
1244,1244,1244,1244,1285,Chevrolet Beat LS,Pune,2012,65000,Petrol,Manual,First,18.6,1199.0,79.4,5.0,2.5,12,0.234256926952141,5416.666666666667
1245,1245,1245,1245,1286,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2013,74000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.85,11,0.2986468200270635,6727.272727272727
1246,1246,1246,1246,1287,Ford Figo Petrol LXI,Hyderabad,2010,51192,Petrol,Manual,First,15.6,1196.0,70.0,5.0,2.65,14,0.2228571428571428,3656.5714285714284
1247,1247,1247,1247,1288,Audi TT 2.0 TFSI,Kochi,2014,14262,Petrol,Automatic,First,9.9,1984.0,207.8,2.0,27.35,10,0.0476419634263715,1426.2
1248,1248,1248,1248,1289,Honda City i DTEC VX,Jaipur,2015,66339,Diesel,Manual,Second,25.1,1498.0,98.6,5.0,6.9,9,0.2545638945233266,7371.0
1249,1249,1249,1249,1290,Ford Figo Diesel Titanium,Hyderabad,2013,90200,Diesel,Manual,First,20.0,1399.0,68.05,5.0,3.5,11,0.2939015429831006,8200.0
1250,1250,1250,1250,1291,Toyota Innova 2.5 ZX Diesel 7 Seater,Delhi,2015,57854,Diesel,Manual,First,12.99,2494.0,100.6,7.0,12.5,9,0.1291252485089463,6428.222222222223
1251,1251,1251,1251,1292,Maruti Ciaz 1.4 AT Alpha,Delhi,2017,32000,Petrol,Automatic,First,19.12,1373.0,91.1,5.0,9.2,7,0.2098792535675082,4571.428571428572
1252,1252,1252,1252,1293,Hyundai Grand i10 AT Asta,Mumbai,2015,29631,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,4.9,9,0.2304878048780487,3292.3333333333335
1253,1253,1253,1253,1294,Honda City 1.3 DX,Delhi,2009,55005,Petrol,Manual,First,12.8,1631.552572706935,98.6,5.286452057152694,3.2,15,0.1298174442190669,3667.0
1254,1254,1254,1254,1295,Ford EcoSport 1.0 Ecoboost Titanium Plus BE,Kochi,2014,54173,Petrol,Manual,First,18.88,999.0,123.24,5.0,5.55,10,0.1531970139565076,5417.3
1255,1255,1255,1255,1296,Skoda Octavia Ambition 1.8 TSI AT,Ahmedabad,2014,50000,Petrol,Automatic,First,14.7,1798.0,177.6,5.0,13.5,10,0.0827702702702702,5000.0
1256,1256,1256,1256,1297,Fiat Linea Emotion (Diesel),Kolkata,2010,145000,Diesel,Manual,First,20.4,1248.0,91.7,5.0,2.6,14,0.2224645583424209,10357.142857142857
1257,1257,1257,1257,1298,Maruti Swift Lxi BSIII,Jaipur,2015,78000,Petrol,Manual,First,16.1,1298.0,88.2,5.0,4.5,9,0.1825396825396825,8666.666666666666
1258,1258,1258,1258,1299,Land Rover Discovery 4 TDV6 SE,Delhi,2013,65000,Diesel,Automatic,Second,11.8,2993.0,180.0,7.0,34.0,11,0.0655555555555555,5909.090909090909
1259,1259,1259,1259,1300,Toyota Innova 2.5 V Diesel 7-seater,Hyderabad,2012,120000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,12.0,12,0.1254901960784313,10000.0
1260,1260,1260,1260,1301,Maruti Swift LDI,Mumbai,2015,14000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.25,9,0.3837837837837837,1555.5555555555557
1261,1261,1261,1261,1302,Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,57456,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,21.56,10,0.1014168530947054,5745.6
1262,1262,1262,1262,1303,BMW 5 Series 520d Luxury Line,Coimbatore,2012,44450,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,24.68,12,0.1183157894736842,3704.1666666666665
1263,1263,1263,1263,1304,Hyundai i20 Magna Optional 1.2,Delhi,2013,63777,Petrol,Manual,First,18.5,1197.0,82.9,5.0,3.67,11,0.2231604342581423,5797.909090909091
1264,1264,1264,1264,1305,BMW X1 M Sport sDrive 20d,Mumbai,2016,31000,Diesel,Automatic,First,17.05,1995.0,190.0,5.0,29.5,8,0.0897368421052631,3875.0
1265,1265,1265,1265,1306,Toyota Etios G,Delhi,2012,60000,Petrol,Manual,First,17.6,1496.0,88.73,5.0,3.1,12,0.1983545587738082,5000.0
1266,1266,1266,1266,1307,Tata Indigo LX,Ahmedabad,2015,78008,Diesel,Manual,First,17.0,1405.0,70.0,5.0,2.9,9,0.2428571428571428,8667.555555555555
1267,1267,1267,1267,1308,Mercedes-Benz M-Class ML 350 4Matic,Bangalore,2014,33000,Diesel,Automatic,Second,0.0,2987.0,165.0,5.0,43.0,10,0.0,3300.0
1268,1268,1268,1268,1309,Volkswagen Beetle 2.0,Mumbai,2009,27078,Petrol,Automatic,First,10.98,1984.0,114.4,4.0,15.95,15,0.0959790209790209,1805.2
1269,1269,1269,1269,1310,Volkswagen Polo GT TDI,Hyderabad,2011,57275,Diesel,Manual,First,19.7,1598.0,103.6,5.0,4.5,13,0.1901544401544401,4405.7692307692305
1270,1270,1270,1270,1311,Hyundai Grand i10 CRDi Magna,Delhi,2014,45000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,3.49,10,0.3428571428571428,4500.0
1271,1271,1271,1271,1312,Maruti Swift VDI BSIV,Delhi,2014,57319,Diesel,Manual,First,25.2,1248.0,74.0,5.0,4.25,10,0.3405405405405405,5731.9
1272,1272,1272,1272,1313,Hyundai Verna CRDi 1.4 E,Chennai,2008,121097,Diesel,Manual,Second,24.0,1396.0,88.76,5.0,1.9,16,0.270392068499324,7568.5625
1273,1273,1273,1273,1314,BMW 5 Series 2003-2012 525d,Mumbai,2011,89000,Diesel,Automatic,First,16.73,1995.0,218.0,5.0,16.57,13,0.076743119266055,6846.153846153846
1274,1274,1274,1274,1315,Honda City 1.5 S MT,Bangalore,2012,72000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,5.75,12,0.1440677966101695,6000.0
1275,1275,1275,1275,1316,Audi A4 2.0 TDI,Delhi,2013,36000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,14.0,11,0.1121957833367229,3272.7272727272725
1276,1276,1276,1276,1317,Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,Diesel,Manual,Second,19.5,1248.0,75.0,5.0,2.5,11,0.26,7818.181818181818
1277,1277,1277,1277,1318,Honda City 1.3 EXI,Ahmedabad,2002,85000,Petrol,Manual,First,13.0,1343.0,90.0,5.0,1.2,22,0.1444444444444444,3863.6363636363635
1278,1278,1278,1278,1320,BMW 3 Series 320d Luxury Line,Kochi,2013,37613,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,13.95,11,0.1194210526315789,3419.3636363636365
1279,1279,1279,1279,1321,Ford Fiesta 1.4 Duratec EXI,Chennai,2007,100000,Petrol,Manual,First,16.6,1388.0,68.0,5.0,1.6,17,0.2441176470588235,5882.35294117647
1280,1280,1280,1280,1322,Tata Nano XTA,Coimbatore,2016,5240,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.6,8,0.5843116328708645,655.0
1281,1281,1281,1281,1324,Maruti Ignis 1.2 Delta,Coimbatore,2019,16862,Petrol,Manual,First,20.89,1197.0,81.8,5.0,6.06,5,0.2553789731051344,3372.4
1282,1282,1282,1282,1325,Maruti Swift Dzire ZXi,Coimbatore,2013,59254,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,5.29,11,0.2039627039627039,5386.727272727273
1283,1283,1283,1283,1326,Ford Ecosport 1.5 DV5 MT Titanium,Jaipur,2014,60000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.75,10,0.2526714158504007,6000.0
1284,1284,1284,1284,1327,Maruti Swift 1.3 ZXI,Hyderabad,2015,50295,Petrol,Manual,First,16.1,1631.552572706935,98.6,5.286452057152694,5.8,9,0.1632860040567951,5588.333333333333
1285,1285,1285,1285,1328,Maruti Swift Dzire VXI,Coimbatore,2014,47674,Petrol,Manual,First,19.1,1197.0,85.8,5.0,5.72,10,0.2226107226107226,4767.4
1286,1286,1286,1286,1329,Hyundai i10 Sportz AT,Kochi,2014,61517,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,4.39,10,0.214828897338403,6151.7
1287,1287,1287,1287,1330,Mahindra XUV500 W6 2WD,Coimbatore,2016,62946,Diesel,Manual,First,15.1,2179.0,140.0,7.0,11.05,8,0.1078571428571428,7868.25
1288,1288,1288,1288,1331,Hyundai i20 Magna 1.4 CRDi,Delhi,2015,66823,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,4.83,9,0.2540290769750929,7424.777777777777
1289,1289,1289,1289,1333,Hyundai i20 Asta 1.4 CRDi,Chennai,2012,107000,Diesel,Manual,Second,21.27,1396.0,88.76,5.0,4.5,12,0.2396349707075259,8916.666666666666
1290,1290,1290,1290,1334,BMW 7 Series 730Ld,Mumbai,2011,55000,Diesel,Automatic,Second,16.46,2993.0,258.0,5.0,19.5,13,0.0637984496124031,4230.7692307692305
1291,1291,1291,1291,1335,Skoda Rapid 1.6 MPI AT Style Plus,Mumbai,2017,24000,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,8.75,7,0.1381375579598145,3428.5714285714284
1292,1292,1292,1292,1336,Audi Q7 45 TDI Quattro Technology,Mumbai,2016,20002,Diesel,Automatic,First,14.75,2967.0,245.0,7.0,67.0,8,0.060204081632653,2500.25
1293,1293,1293,1293,1337,Honda City i VTEC VX,Kochi,2016,54317,Petrol,Manual,First,17.4,1497.0,117.3,5.0,8.4,8,0.1483375959079284,6789.625
1294,1294,1294,1294,1338,Hyundai Xcent 1.2 Kappa SX,Mumbai,2016,10200,Petrol,Manual,First,19.1,1197.0,82.0,5.0,4.99,8,0.2329268292682927,1275.0
1295,1295,1295,1295,1339,Honda City i DTec E,Coimbatore,2016,24337,Diesel,Manual,First,26.0,1498.0,98.6,5.0,8.18,8,0.2636916835699797,3042.125
1296,1296,1296,1296,1340,Honda Brio S Option MT,Pune,2012,79000,Petrol,Manual,First,18.4,1198.0,86.8,5.0,2.9,12,0.2119815668202765,6583.333333333333
1297,1297,1297,1297,1341,Maruti Ciaz ZDi Plus SHVS,Jaipur,2015,40500,Diesel,Manual,First,28.09,1248.0,88.5,5.0,7.1,9,0.3174011299435028,4500.0
1298,1298,1298,1298,1342,Maruti Swift Dzire VDI Optional,Pune,2016,23000,Diesel,Manual,First,26.59,1248.0,74.0,5.0,7.05,8,0.3593243243243243,2875.0
1299,1299,1299,1299,1343,Honda CR-V 2.4L 4WD AT,Pune,2015,63050,Petrol,Automatic,First,11.1,2354.0,158.8,5.0,17.5,9,0.0698992443324937,7005.555555555556
1300,1300,1300,1300,1344,Toyota Corolla Altis 2008-2013 1.8 VL AT,Mumbai,2008,78000,Petrol,Automatic,Second,14.53,1794.0,138.1,5.0,3.41,16,0.1052136133236785,4875.0
1301,1301,1301,1301,1346,Honda City 1.5 V MT,Coimbatore,2012,66245,Petrol,Manual,First,17.0,1497.0,118.0,5.0,5.68,12,0.1440677966101695,5520.416666666667
1302,1302,1302,1302,1347,Mahindra Scorpio LX BS IV,Bangalore,2007,74112,Diesel,Manual,First,12.05,2179.0,120.0,9.0,4.1,17,0.1004166666666666,4359.529411764706
1303,1303,1303,1303,1348,Skoda Laura 1.8 TSI Ambiente,Delhi,2011,87670,Petrol,Manual,First,13.4,1798.0,157.8,5.0,4.0,13,0.0849176172370088,6743.846153846154
1304,1304,1304,1304,1349,BMW 3 Series 320d Sport Line,Hyderabad,2015,10000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,30.0,9,0.1026086956521739,1111.111111111111
1305,1305,1305,1305,1350,Maruti SX4 Zxi BSIII,Chennai,2007,62493,Petrol,Manual,First,15.0,1586.0,104.68,5.0,1.8,17,0.1432938479174627,3676.0588235294117
1306,1306,1306,1306,1351,Maruti Ciaz VXi Plus,Kochi,2015,44620,Petrol,Manual,First,20.73,1373.0,91.1,5.0,6.93,9,0.2275521405049396,4957.777777777777
1307,1307,1307,1307,1352,Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,Bangalore,2012,66538,Diesel,Automatic,First,10.2,4367.0,308.0,7.0,70.0,12,0.0331168831168831,5544.833333333333
1308,1308,1308,1308,1353,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Ahmedabad,2013,60000,Diesel,Manual,First,12.99,2494.0,100.0,7.0,7.9,11,0.1299,5454.545454545455
1309,1309,1309,1309,1354,Hyundai Santro Xing GL,Kochi,2011,20842,Petrol,Manual,First,0.0,1086.0,62.0,5.0,2.78,13,0.0,1603.2307692307693
1310,1310,1310,1310,1355,Hyundai Santa Fe 4WD AT,Chennai,2014,110000,Diesel,Automatic,First,13.01,2199.0,194.3,7.0,14.4,10,0.0669583118888317,11000.0
1311,1311,1311,1311,1356,Mercedes-Benz New C-Class C250 Avantgarde,Mumbai,2011,45000,Petrol,Automatic,Second,11.74,1796.0,186.0,5.0,13.5,13,0.0631182795698924,3461.5384615384614
1312,1312,1312,1312,1358,Maruti Alto LXi,Coimbatore,2012,49008,Petrol,Manual,First,19.7,796.0,46.3,5.0,2.88,12,0.4254859611231101,4084.0
1313,1313,1313,1313,1359,Maruti Alto 800 2016-2019 LXI,Kolkata,2016,31000,Petrol,Manual,First,24.7,796.0,47.3,5.0,2.15,8,0.5221987315010571,3875.0
1314,1314,1314,1314,1360,Nissan Sunny 2011-2014 XV,Pune,2013,8000,Petrol,Manual,First,16.95,1498.0,97.7,5.0,3.75,11,0.1734902763561924,727.2727272727273
1315,1315,1315,1315,1361,Maruti Alto 800 2016-2019 VXI,Mumbai,2019,171,Petrol,Manual,First,24.7,796.0,47.3,5.0,3.6,5,0.5221987315010571,34.2
1316,1316,1316,1316,1362,Maruti Alto K10 VXI,Kolkata,2018,2100,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.6,6,0.3587183308494784,350.0
1317,1317,1317,1317,1363,Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,20667,Petrol,Automatic,First,18.9,1197.0,81.86,5.0,7.55,6,0.2308819936476911,3444.5
1318,1318,1318,1318,1364,Honda Mobilio S i DTEC,Kolkata,2015,50000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,4.7,9,0.2454361054766734,5555.555555555556
1319,1319,1319,1319,1365,Tata Manza Aqua Quadrajet,Jaipur,2010,100030,Diesel,Manual,Second,18.8,1248.0,90.0,5.0,1.6,14,0.2088888888888889,7145.0
1320,1320,1320,1320,1366,Chevrolet Optra Magnum 2.0 LT,Pune,2011,75372,Diesel,Manual,First,16.52,1991.0,123.7,5.0,3.34,13,0.1335489086499595,5797.846153846154
1321,1321,1321,1321,1367,Honda City i VTEC CVT VX,Kochi,2016,60475,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,9.1,8,0.1534526854219949,7559.375
1322,1322,1322,1322,1368,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,18453,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.17,5,0.2308819936476911,3690.6
1323,1323,1323,1323,1369,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,96578,Diesel,Manual,First,22.0,1582.0,126.2,5.0,2.5,16,0.1743264659270998,6036.125
1324,1324,1324,1324,1370,Nissan Micra XL,Kolkata,2016,31001,Petrol,Manual,First,18.44,1198.0,75.0,5.0,3.0,8,0.2458666666666666,3875.125
1325,1325,1325,1325,1371,Hyundai Verna 1.6 SX,Jaipur,2012,65900,Diesel,Manual,First,22.32,1582.0,126.32,5.0,5.75,12,0.1766941101963268,5491.666666666667
1326,1326,1326,1326,1372,Hyundai Creta 1.6 VTVT E Plus,Bangalore,2017,26246,Petrol,Manual,First,15.29,1591.0,121.3,5.0,10.75,7,0.1260511129431162,3749.4285714285716
1327,1327,1327,1327,1373,Maruti Wagon R VXI BS IV,Jaipur,2013,62700,Petrol,Manual,Second,20.51,998.0,67.04,5.0,2.85,11,0.305936754176611,5700.0
1328,1328,1328,1328,1374,Honda Accord 2.4 Elegance A/T,Chennai,2008,90000,Petrol,Automatic,First,10.2,2354.0,180.0,5.0,6.5,16,0.0566666666666666,5625.0
1329,1329,1329,1329,1375,Honda City 1.5 S AT,Bangalore,2016,36000,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,9.45,8,0.1423728813559322,4500.0
1330,1330,1330,1330,1376,Maruti Baleno Alpha 1.3,Delhi,2016,46000,Diesel,Manual,First,27.39,1248.0,74.0,5.0,6.75,8,0.3701351351351351,5750.0
1331,1331,1331,1331,1377,Honda City i DTec V,Coimbatore,2017,73003,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.75,7,0.2636916835699797,10429.0
1332,1332,1332,1332,1378,Hyundai i20 Era 1.4 CRDi,Kochi,2014,46566,Diesel,Manual,First,22.54,1396.0,88.76,5.0,4.4,10,0.2539432176656151,4656.6
1333,1333,1333,1333,1379,Mercedes-Benz E-Class 2015-2017 E350 Edition E,Jaipur,2015,41493,Diesel,Automatic,First,13.0,2987.0,265.0,5.0,42.0,9,0.0490566037735849,4610.333333333333
1334,1334,1334,1334,1380,Nissan Terrano XV 110 PS,Kochi,2014,103788,Diesel,Manual,First,19.01,1461.0,108.5,5.0,5.67,10,0.1752073732718894,10378.8
1335,1335,1335,1335,1381,Renault Duster 110PS Diesel RxZ AMT,Bangalore,2016,45000,Diesel,Automatic,First,19.6,1461.0,108.45,5.0,11.5,8,0.1807284462886122,5625.0
1336,1336,1336,1336,1382,Maruti Wagon R LXI Minor,Pune,2009,120000,Petrol,Manual,First,18.9,998.0,67.1,5.0,1.69,15,0.2816691505216095,8000.0
1337,1337,1337,1337,1383,Hyundai Getz 1.5 CRDi GVS,Jaipur,2009,97359,Diesel,Manual,Second,17.1,1493.0,110.0,5.0,1.8,15,0.1554545454545454,6490.6
1338,1338,1338,1338,1384,Maruti Ritz LXi,Mumbai,2016,62000,Petrol,Manual,First,18.5,1197.0,85.8,5.0,3.2,8,0.2156177156177156,7750.0
1339,1339,1339,1339,1385,Honda City 1.5 GXI,Pune,2004,115000,Petrol,Manual,Second,0.0,1631.552572706935,98.6,5.286452057152694,1.5,20,0.0,5750.0
1340,1340,1340,1340,1386,BMW 5 Series 520d Sport Line,Kochi,2019,18373,Diesel,Automatic,First,22.48,1995.0,187.74,5.0,45.86,5,0.1197400660487908,3674.6
1341,1341,1341,1341,1387,Volkswagen Polo 1.2 MPI Highline,Hyderabad,2016,60453,Petrol,Manual,First,16.47,1198.0,74.0,5.0,5.1,8,0.2225675675675675,7556.625
1342,1342,1342,1342,1389,Ford Figo Petrol ZXI,Mumbai,2010,69009,Petrol,Manual,Second,15.6,1196.0,70.0,5.0,2.4,14,0.2228571428571428,4929.214285714285
1343,1343,1343,1343,1390,BMW 3 Series 320d Luxury Line,Hyderabad,2013,30000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,22.0,11,0.1026086956521739,2727.2727272727275
1344,1344,1344,1344,1391,Hyundai Verna 1.6 SX CRDi (O),Delhi,2012,70707,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.28,12,0.1766941101963268,5892.25
1345,1345,1345,1345,1392,Renault Duster 85PS Diesel RxL,Coimbatore,2015,64677,Diesel,Manual,First,20.45,1461.0,83.8,5.0,5.67,9,0.2440334128878281,7186.333333333333
1346,1346,1346,1346,1393,Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,Petrol,Automatic,First,18.9,1197.0,81.86,5.0,6.2,6,0.2308819936476911,500.0
1347,1347,1347,1347,1394,BMW X1 sDrive20d,Bangalore,2013,49000,Diesel,Automatic,Second,17.05,1995.0,184.0,5.0,14.49,11,0.0926630434782608,4454.545454545455
1348,1348,1348,1348,1395,Maruti Ritz VDi,Pune,2010,71000,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.0,14,0.2855209742895805,5071.428571428572
1349,1349,1349,1349,1396,Hyundai i10 Era 1.1 iTech SE,Jaipur,2010,52000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.25,14,0.2911094783247612,3714.285714285714
1350,1350,1350,1350,1397,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Kochi,2016,35659,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,43.78,8,0.0618992248062015,4457.375
1351,1351,1351,1351,1398,Honda City V MT Exclusive,Kochi,2019,5377,Petrol,Manual,First,16.8,1497.0,116.3,5.0,11.45,5,0.1444539982803095,1075.4
1352,1352,1352,1352,1399,Mahindra Ssangyong Rexton RX7,Delhi,2014,65000,Diesel,Automatic,First,11.18,2696.0,184.0,7.0,10.5,10,0.0607608695652173,6500.0
1353,1353,1353,1353,1400,Ford Ecosport 1.5 DV5 MT Titanium Optional,Coimbatore,2015,92708,Diesel,Manual,First,22.7,1498.0,89.84,5.0,7.48,9,0.2526714158504007,10300.888888888889
1354,1354,1354,1354,1401,Maruti Alto LXi,Coimbatore,2010,48105,Petrol,Manual,First,19.7,796.0,46.3,5.0,3.1,14,0.4254859611231101,3436.0714285714284
1355,1355,1355,1355,1402,Volkswagen Polo 1.2 MPI Highline,Mumbai,2011,46759,Petrol,Manual,First,16.47,1198.0,74.0,5.0,2.55,13,0.2225675675675675,3596.846153846154
1356,1356,1356,1356,1403,Volkswagen Polo Diesel Comfortline 1.2L,Jaipur,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5,11,0.2986468200270635,5636.363636363636
1357,1357,1357,1357,1404,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2012,35175,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.59,12,0.2986468200270635,2931.25
1358,1358,1358,1358,1405,Maruti Ertiga ZDI,Kolkata,2013,70000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,5.45,11,0.2338963963963964,6363.636363636364
1359,1359,1359,1359,1406,Ford EcoSport 1.5 TDCi Ambiente,Kolkata,2017,30000,Diesel,Manual,First,22.77,1498.0,98.59,5.0,6.0,7,0.2309564864590729,4285.714285714285
1360,1360,1360,1360,1407,Toyota Innova Crysta 2.8 ZX AT,Kolkata,2016,66618,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,15.49,8,0.0662390670553935,8327.25
1361,1361,1361,1361,1408,BMW 5 Series 523i Sedan,Mumbai,2010,69300,Petrol,Automatic,Second,10.8,2497.0,150.0,5.0,12.5,14,0.072,4950.0
1362,1362,1362,1362,1409,Maruti Swift Dzire Tour LDI,Kolkata,2017,148000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.75,7,0.3162162162162162,21142.85714285714
1363,1363,1363,1363,1410,Ford Ecosport 1.0 Ecoboost Platinum Edition,Mumbai,2017,22000,Petrol,Manual,First,18.88,999.0,123.24,5.0,7.85,7,0.1531970139565076,3142.8571428571427
1364,1364,1364,1364,1411,Hyundai Verna CRDi SX,Ahmedabad,2013,75000,Diesel,Manual,First,16.8,1493.0,110.0,5.0,6.0,11,0.1527272727272727,6818.181818181818
1365,1365,1365,1365,1412,Tata Zest Revotron 1.2T XM,Mumbai,2016,43706,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.0,8,0.1980834272829763,5463.25
1366,1366,1366,1366,1413,Audi A7 2011-2015 3.0 TDI Quattro,Mumbai,2011,42000,Diesel,Automatic,First,14.4,2967.0,241.4,5.0,28.75,13,0.0596520298260149,3230.769230769231
1367,1367,1367,1367,1414,Tata Indica Vista Quadrajet VX,Pune,2012,65000,Diesel,Manual,First,22.3,1248.0,74.0,5.0,2.5,12,0.3013513513513514,5416.666666666667
1368,1368,1368,1368,1415,Maruti Swift Dzire VDI,Delhi,2015,76128,Diesel,Manual,First,26.59,1248.0,74.0,5.0,5.5,9,0.3593243243243243,8458.666666666666
1369,1369,1369,1369,1416,Fiat Linea Emotion,Kolkata,2010,39852,Petrol,Manual,First,16.0,1368.0,90.0,5.0,1.59,14,0.1777777777777777,2846.5714285714284
1370,1370,1370,1370,1417,Hyundai i20 1.2 Spotz,Mumbai,2017,18673,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.22,7,0.2273005010387388,2667.5714285714284
1371,1371,1371,1371,1418,Hyundai EON Era Plus,Kolkata,2016,11583,Petrol,Manual,First,21.1,814.0,55.2,5.0,2.75,8,0.3822463768115942,1447.875
1372,1372,1372,1372,1420,Mercedes-Benz GLA Class 200 CDI SPORT,Pune,2017,50000,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,25.0,7,0.1316176470588235,7142.857142857143
1373,1373,1373,1373,1421,Maruti Celerio VXI,Delhi,2014,77000,Petrol,Manual,First,23.1,998.0,67.04,5.0,2.8,10,0.3445704057279236,7700.0
1374,1374,1374,1374,1422,Chevrolet Beat LT,Mumbai,2014,54890,Petrol,Manual,Second,17.8,1199.0,76.8,5.0,2.45,10,0.2317708333333333,5489.0
1375,1375,1375,1375,1423,Honda Jazz 1.2 V AT i VTEC Privilege,Pune,2016,21000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.35,8,0.2142051860202931,2625.0
1376,1376,1376,1376,1424,BMW 3 Series 320d Highline,Mumbai,2009,58557,Diesel,Automatic,Third,16.07,1995.0,181.0,5.0,8.0,15,0.0887845303867403,3903.8
1377,1377,1377,1377,1425,Renault Duster 110PS Diesel RxL,Bangalore,2014,70000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,8.25,10,0.1752881512217612,7000.0
1378,1378,1378,1378,1426,Ford Figo 2015-2019 1.5P Titanium AT,Mumbai,2017,16000,Petrol,Automatic,First,17.01,1499.0,110.4,5.0,5.95,7,0.1540760869565217,2285.714285714286
1379,1379,1379,1379,1427,Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,Diesel,Manual,First,13.68,2393.0,147.8,7.0,19.92,6,0.0925575101488497,1483.1666666666667
1380,1380,1380,1380,1428,Chevrolet Beat Diesel LS,Kochi,2016,83629,Diesel,Manual,First,25.44,936.0,56.3,5.0,3.15,8,0.4518650088809947,10453.625
